18~19초
46~47초
57~58초
62~63초
64~65초
67~68초
69~70초
71~72초
82~83초
83~84초
84~85초
85~86초
88~89초
89~90초
115~116초
120~121초
122~123초
124~125초
127~128초
129~130초
140~141초
141~142초
142~143초
143~144초
144~145초
145~146초
146~147초
158~159초
159~160초
169~170초
172~173초
173~174초
174~175초
178~179초
179~180초
180~181초
183~184초
184~185초
185~186초
186~187초
187~188초
188~189초
189~190초
190~191초
191~192초
192~193초
193~194초
194~195초
195~196초
198~199초
206~207초
207~208초
213~214초
215~216초
216~217초
217~218초
219~220초
220~221초
223~224초
224~225초
225~226초
228~229초
229~230초
232~233초
233~234초
234~235초
236~237초
237~238초
238~239초
239~240초
240~241초
241~242초
242~243초
244~245초
245~246초
246~247초
247~248초
248~249초
249~250초
260~261초
263~264초
264~265초
265~266초
269~270초
270~271초
271~272초
273~274초
274~275초
275~276초
279~280초
280~281초
282~283초
283~284초
288~289초
289~290초
291~292초
292~293초
294~295초
299~300초
300~301초
305~306초
309~310초
314~315초
316~317초
320~321초
323~324초
329~330초
334~335초
335~336초
336~337초
337~338초
338~339초
339~340초
340~341초
341~342초
342~343초
343~344초
344~345초
345~346초
361~362초
363~364초
366~367초
367~368초
370~371초
371~372초
372~373초
374~375초
376~377초
377~378초
379~380초
381~382초
382~383초
411~412초
412~413초
413~414초
415~416초
418~419초
420~421초
427~428초
431~432초
433~434초
434~435초
435~436초
436~437초
437~438초
438~439초
451~452초
454~455초
470~471초
473~474초
